Locus Tag	Half Life combined fit	stdev_half_life_ABC
SYNPCC7002_A2112	0.175	0.032
SYNPCC7002_A2138	0.198	0.032
SYNPCC7002_F0032	0.249	0.019
SYNPCC7002_A1156	0.271	0.043
SYNPCC7002_A0304	0.282	0.043
SYNPCC7002_G0109	0.294	0.008
SYNPCC7002_E0003	0.310	0.086
SYNPCC7002_A2860	0.310	0.111
SYNPCC7002_A1669	0.316	0.045
SYNPCC7002_G0037	0.316	0.042
SYNPCC7002_A2137	0.331	0.180
SYNPCC7002_A2086	0.332	0.099
SYNPCC7002_A1695	0.336	0.058
SYNPCC7002_A1668	0.338	0.094
SYNPCC7002_A2237	0.345	0.424
SYNPCC7002_A2741	0.350	0.575
SYNPCC7002_A1696	0.360	0.150
SYNPCC7002_A0018	0.360	0.081
SYNPCC7002_A2245	0.367	0.170
SYNPCC7002_A0089	0.370	0.073
SYNPCC7002_A2593	0.384	0.057
SYNPCC7002_A0061	0.384	0.068
SYNPCC7002_A0273	0.387	0.078
SYNPCC7002_A2753	0.388	0.062
SYNPCC7002_F0068	0.396	0.073
SYNPCC7002_A2669	0.397	0.036
SYNPCC7002_A2453	0.399	0.137
SYNPCC7002_A0937	0.400	0.009
SYNPCC7002_E0004	0.403	0.653
SYNPCC7002_A0008	0.404	0.209
SYNPCC7002_A1786	0.405	0.133
SYNPCC7002_A2085	0.410	0.073
SYNPCC7002_A1429	0.410	0.080
SYNPCC7002_A2572	0.411	0.253
SYNPCC7002_A0859	0.411	0.082
SYNPCC7002_A1229	0.414	0.258
SYNPCC7002_A2503	0.414	0.002
SYNPCC7002_A2844	0.416	0.052
SYNPCC7002_A1502	0.417	0.013
SYNPCC7002_A0777	0.418	0.022
SYNPCC7002_A1067	0.418	0.047
SYNPCC7002_A2494	0.419	0.171
SYNPCC7002_A1723	0.419	0.093
SYNPCC7002_A0090	0.420	0.026
SYNPCC7002_A2591	0.421	0.176
SYNPCC7002_A0873	0.422	0.095
SYNPCC7002_A1100	0.423	0.015
SYNPCC7002_A0254	0.423	0.094
SYNPCC7002_A0211	0.423	0.117
SYNPCC7002_A2688	0.423	0.073
SYNPCC7002_A1079	0.425	0.054
SYNPCC7002_A0920	0.425	0.043
SYNPCC7002_A2752	0.426	0.149
SYNPCC7002_A2552	0.426	0.025
SYNPCC7002_A0909	0.426	0.145
SYNPCC7002_A1717	0.426	0.013
SYNPCC7002_A0429	0.426	0.012
SYNPCC7002_A1375	0.427	0.094
SYNPCC7002_A1680	0.427	0.172
SYNPCC7002_A1993	0.428	0.029
SYNPCC7002_A0036	0.428	0.221
SYNPCC7002_A1738	0.429	0.116
SYNPCC7002_A2349	0.430	0.182
SYNPCC7002_A2207	0.430	0.044
SYNPCC7002_A2068	0.431	0.097
SYNPCC7002_A0878	0.431	0.094
SYNPCC7002_A1128	0.432	0.073
SYNPCC7002_A1640	0.432	0.014
SYNPCC7002_A0906	0.432	0.028
SYNPCC7002_A1521	0.432	0.029
SYNPCC7002_A2676	0.433	0.014
SYNPCC7002_A1378	0.433	0.080
SYNPCC7002_A1810	0.434	0.077
SYNPCC7002_A2002	0.435	0.385
SYNPCC7002_A2246	0.435	0.058
SYNPCC7002_A1457	0.435	0.028
SYNPCC7002_A2747	0.435	0.044
SYNPCC7002_A1855	0.437	0.101
SYNPCC7002_A2075	0.438	0.018
SYNPCC7002_A0359	0.438	0.063
SYNPCC7002_A2561	0.438	0.213
SYNPCC7002_A0603	0.439	0.277
SYNPCC7002_A1934	0.439	0.141
SYNPCC7002_A1417	0.439	0.072
SYNPCC7002_A2406	0.439	0.027
SYNPCC7002_A0316	0.440	0.104
SYNPCC7002_A2586	0.440	0.146
SYNPCC7002_A0315	0.441	0.041
SYNPCC7002_A2270	0.442	0.181
SYNPCC7002_A1947	0.442	0.065
SYNPCC7002_A1819	0.444	0.060
SYNPCC7002_A2611	0.445	0.084
SYNPCC7002_A1312	0.445	0.423
SYNPCC7002_A1629	0.446	0.040
SYNPCC7002_A1361	0.447	0.055
SYNPCC7002_A2313	0.448	0.004
SYNPCC7002_A1152	0.448	0.036
SYNPCC7002_A1619	0.449	0.139
SYNPCC7002_A1916	0.450	0.012
SYNPCC7002_A0279	0.450	0.035
SYNPCC7002_A0207	0.450	1.782
